,0,1,2,3
85,24.0,36.0,43.0,-1.0
86,24.0,36.0,43.0,44.0
87,24.0,36.0,43.0,46.0
88,24.0,36.0,43.0,48.0
89,24.0,36.0,43.0,55.0
90,24.0,36.0,43.0,56.0
91,24.0,36.0,43.0,58.0
92,24.0,36.0,43.0,60.0
93,24.0,36.0,43.0,64.0
94,24.0,36.0,43.0,65.0
95,24.0,36.0,44.0,60.0
96,24.0,36.0,54.0,-1.0
97,24.0,37.0,44.0,49.0
98,24.0,39.0,46.0,51.0
99,24.0,41.0,48.0,49.0
100,24.0,41.0,48.0,51.0
101,24.0,41.0,48.0,53.0
102,24.0,43.0,-1.0,-1.0
103,24.0,43.0,48.0,53.0
104,24.0,43.0,48.0,55.0
105,24.0,43.0,50.0,55.0
106,24.0,43.0,53.0,60.0
107,24.0,44.0,48.0,51.0
108,24.0,44.0,48.0,55.0
109,24.0,44.0,51.0,58.0
110,24.0,46.0,49.0,53.0
111,24.0,48.0,-1.0,-1.0
112,24.0,48.0,49.0,56.0
113,24.0,48.0,51.0,55.0
114,24.0,48.0,51.0,58.0
115,24.0,48.0,53.0,-1.0
116,24.0,48.0,53.0,55.0
117,24.0,48.0,53.0,56.0
118,24.0,48.0,55.0,-1.0
119,24.0,48.0,55.0,56.0
120,24.0,48.0,55.0,58.0
121,24.0,48.0,55.0,60.0
122,24.0,48.0,56.0,-1.0
123,24.0,49.0,51.0,56.0
124,24.0,49.0,56.0,61.0
125,24.0,51.0,-1.0,-1.0
126,24.0,51.0,53.0,60.0
127,24.0,51.0,56.0,58.0
128,24.0,51.0,58.0,63.0
129,24.0,53.0,56.0,60.0
130,24.0,53.0,58.0,-1.0
131,24.0,53.0,60.0,65.0
132,24.0,56.0,-1.0,-1.0
133,24.0,60.0,-1.0,-1.0
134,24.0,62.0,-1.0,-1.0
135,24.0,63.0,-1.0,-1.0
136,24.0,65.0,-1.0,-1.0
137,24.0,67.0,-1.0,-1.0
138,24.0,72.0,-1.0,-1.0
139,24.0,74.0,-1.0,-1.0
140,24.0,75.0,-1.0,-1.0
141,24.0,77.0,-1.0,-1.0
142,24.0,79.0,-1.0,-1.0
143,25.0,-1.0,-1.0,-1.0
144,25.0,35.0,38.0,51.0
145,25.0,35.0,38.0,52.0
146,25.0,35.0,38.0,54.0
147,25.0,35.0,38.0,58.0
148,25.0,35.0,49.0,51.0
149,25.0,35.0,49.0,54.0
150,25.0,35.0,51.0,-1.0
151,25.0,35.0,51.0,52.0
152,25.0,35.0,51.0,54.0
153,25.0,35.0,51.0,56.0
154,25.0,35.0,51.0,58.0
155,25.0,35.0,51.0,59.0
156,25.0,35.0,51.0,61.0
157,25.0,35.0,52.0,54.0
158,25.0,35.0,52.0,58.0
159,25.0,35.0,52.0,61.0
160,25.0,35.0,54.0,61.0
161,25.0,35.0,54.0,64.0
162,25.0,35.0,56.0,59.0
163,25.0,35.0,58.0,64.0
164,25.0,35.0,59.0,68.0
165,25.0,35.0,61.0,63.0
166,25.0,35.0,61.0,64.0
167,25.0,36.0,38.0,49.0
168,25.0,36.0,49.0,56.0
169,25.0,37.0,-1.0,-1.0
170,25.0,37.0,44.0,-1.0
171,25.0,37.0,44.0,49.0
172,25.0,37.0,49.0,56.0
173,25.0,37.0,58.0,-1.0
174,25.0,37.0,61.0,-1.0
175,25.0,41.0,48.0,49.0
176,25.0,42.0,-1.0,-1.0
177,25.0,44.0,49.0,-1.0
178,25.0,45.0,52.0,-1.0
179,25.0,46.0,49.0,53.0
180,25.0,47.0,-1.0,-1.0
181,25.0,47.0,54.0,-1.0
182,25.0,48.0,49.0,56.0
183,25.0,48.0,53.0,60.0
184,25.0,49.0,-1.0,-1.0
185,25.0,49.0,51.0,56.0
186,25.0,49.0,54.0,-1.0
187,25.0,49.0,56.0,-1.0
188,25.0,49.0,56.0,61.0
189,25.0,49.0,56.0,63.0
190,25.0,49.0,56.0,64.0
191,25.0,49.0,56.0,73.0
192,25.0,51.0,53.0,60.0
193,25.0,51.0,61.0,-1.0
194,25.0,52.0,54.0,-1.0
195,25.0,52.0,58.0,-1.0
196,25.0,52.0,61.0,-1.0
197,25.0,53.0,56.0,60.0
198,25.0,53.0,56.0,61.0
199,25.0,54.0,-1.0,-1.0
200,25.0,54.0,57.0,61.0
201,25.0,54.0,61.0,-1.0
202,25.0,54.0,64.0,-1.0
203,25.0,54.0,66.0,-1.0
204,25.0,56.0,59.0,-1.0
205,25.0,57.0,-1.0,-1.0
206,25.0,58.0,64.0,-1.0
207,25.0,59.0,68.0,-1.0
208,25.0,61.0,-1.0,-1.0
209,25.0,61.0,63.0,-1.0
210,25.0,61.0,64.0,-1.0
211,25.0,62.0,-1.0,-1.0
212,25.0,64.0,-1.0,-1.0
213,25.0,66.0,-1.0,-1.0
214,25.0,68.0,-1.0,-1.0
215,25.0,69.0,-1.0,-1.0
216,25.0,73.0,-1.0,-1.0
217,26.0,-1.0,-1.0,-1.0
218,26.0,35.0,36.0,42.0
219,26.0,35.0,36.0,50.0
220,26.0,36.0,-1.0,-1.0
221,26.0,36.0,42.0,-1.0
222,26.0,36.0,45.0,-1.0
223,26.0,36.0,49.0,-1.0
224,26.0,38.0,-1.0,-1.0
225,26.0,38.0,40.0,42.0
226,26.0,38.0,41.0,45.0
227,26.0,38.0,42.0,-1.0
228,26.0,38.0,43.0,46.0
229,26.0,38.0,45.0,-1.0
230,26.0,38.0,45.0,50.0
231,26.0,38.0,45.0,60.0
232,26.0,38.0,45.0,65.0
233,26.0,38.0,45.0,67.0
234,26.0,38.0,45.0,68.0
235,26.0,38.0,45.0,69.0
236,26.0,38.0,45.0,70.0
237,26.0,38.0,65.0,-1.0
238,26.0,38.0,67.0,-1.0
239,26.0,38.0,68.0,-1.0
240,26.0,38.0,69.0,-1.0
241,26.0,38.0,70.0,-1.0
242,26.0,38.0,74.0,-1.0
243,26.0,39.0,-1.0,-1.0
244,26.0,40.0,45.0,47.0
245,26.0,40.0,47.0,-1.0
246,26.0,40.0,47.0,52.0
247,26.0,40.0,49.0,-1.0
248,26.0,41.0,45.0,48.0
249,26.0,41.0,48.0,53.0
250,26.0,42.0,-1.0,-1.0
251,26.0,42.0,50.0,56.0
252,26.0,42.0,57.0,59.0
253,26.0,43.0,50.0,55.0
254,26.0,44.0,-1.0,-1.0
255,26.0,45.0,-1.0,-1.0
256,26.0,45.0,47.0,52.0
257,26.0,45.0,49.0,52.0
258,26.0,45.0,50.0,-1.0
259,26.0,45.0,50.0,52.0
260,26.0,45.0,50.0,57.0
261,26.0,45.0,52.0,57.0
262,26.0,45.0,57.0,-1.0
263,26.0,45.0,74.0,-1.0
264,26.0,46.0,-1.0,-1.0
265,26.0,48.0,55.0,60.0
266,26.0,49.0,-1.0,-1.0
267,26.0,49.0,57.0,-1.0
268,26.0,50.0,-1.0,-1.0
269,26.0,50.0,57.0,62.0
270,26.0,50.0,62.0,-1.0
271,26.0,50.0,74.0,-1.0
272,26.0,52.0,-1.0,-1.0
273,26.0,53.0,-1.0,-1.0
274,26.0,53.0,58.0,-1.0
275,26.0,54.0,-1.0,-1.0
276,26.0,54.0,57.0,61.0
277,26.0,57.0,-1.0,-1.0
278,26.0,57.0,74.0,-1.0
