,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
78,40.0,47.0,64.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
79,40.0,49.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
80,41.0,48.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
81,41.0,48.0,53.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
82,41.0,48.0,53.0,29.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
83,41.0,48.0,53.0,57.0,62.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
84,41.0,48.0,53.0,59.0,62.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
85,41.0,48.0,53.0,60.0,64.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
86,41.0,48.0,53.0,62.0,65.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
87,41.0,48.0,53.0,71.0,74.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
88,41.0,48.0,53.0,72.0,76.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
89,42.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
90,42.0,37.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
91,42.0,42.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
92,42.0,42.0,49.0,54.0,30.0,63.0,42.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
93,42.0,42.0,49.0,54.0,30.0,68.0,42.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
94,42.0,42.0,49.0,54.0,42.0,65.0,42.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
95,42.0,42.0,49.0,54.0,42.0,66.0,42.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
96,42.0,42.0,49.0,54.0,65.0,42.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
97,42.0,42.0,49.0,54.0,66.0,42.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
98,42.0,47.0,54.0,59.0,35.0,68.0,47.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
99,42.0,49.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
100,42.0,49.0,54.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
101,42.0,49.0,54.0,30.0,36.0,38.0,42.0,49.0,54.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
102,42.0,49.0,54.0,30.0,36.0,42.0,49.0,54.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
103,42.0,49.0,54.0,30.0,45.0,42.0,49.0,54.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
104,42.0,49.0,54.0,30.0,47.0,42.0,49.0,54.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
105,42.0,49.0,54.0,30.0,48.0,42.0,49.0,54.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
106,42.0,49.0,54.0,42.0,49.0,54.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
107,42.0,49.0,54.0,61.0,66.0,45.0,54.0,66.0,42.0,49.0,54.0,30.0,47.0,59.0,-1.0
108,42.0,49.0,54.0,61.0,66.0,45.0,54.0,66.0,42.0,49.0,54.0,42.0,47.0,59.0,-1.0
109,42.0,49.0,54.0,61.0,66.0,50.0,53.0,65.0,49.0,56.0,61.0,37.0,42.0,54.0,-1.0
110,42.0,49.0,54.0,61.0,66.0,50.0,53.0,65.0,49.0,56.0,61.0,37.0,47.0,59.0,-1.0
111,42.0,49.0,54.0,61.0,66.0,50.0,53.0,65.0,49.0,56.0,61.0,37.0,73.0,-1.0,-1.0
